Speciality_Group,HCP_ID,Decile,Emails_Jan18,Emails_Feb18,Emails_Mar18,Emails_Apr18,Emails_May18,Emails_Jun18,Emails_Jul18,Emails_Aug18,Emails_Sep18,Emails_Oct18,Emails_Nov18,Emails_Dec18,Emails_Jan19,Emails_Feb19,Emails_Mar19,Emails_Apr19,Calls_Jan18,Calls_Feb18,Calls_Mar18,Calls_Apr18,Calls_May18,Calls_Jun18,Calls_Jul18,Calls_Aug18,Calls_Sep18,Calls_Oct18,Calls_Nov18,Calls_Dec18,Calls_Jan19,Calls_Feb19,Calls_Mar19,Calls_Apr19,Segment,Brand_Sales_Jan18,Brand_Sales_Feb18,Brand_Sales_Mar18,Brand_Sales_Apr18,Brand_Sales_May18,Brand_Sales_Jun18,Brand_Sales_Jul18,Brand_Sales_Aug18,Brand_Sales_Sep18,Brand_Sales_Oct18,Brand_Sales_Nov18,Brand_Sales_Dec18,Brand_Sales_Jan19,Brand_Sales_Feb19,Brand_Sales_Mar19,Brand_Sales_Apr19,Final_formulary_status,Final_criteria_status,Speaker_Program_Jan18,Speaker_Program_Feb18,Speaker_Program_Mar18,Speaker_Program_Apr18,Speaker_Program_May18,Speaker_Program_Jun18,Speaker_Program_Jul18,Speaker_Program_Aug18,Speaker_Program_Sep18,Speaker_Program_Oct18,Speaker_Program_Nov18,Speaker_Program_Dec18,Speaker_Program_Jan19,Speaker_Program_Feb19,Speaker_Program_Mar19,Speaker_Program_Apr19,Mobile_Alerts_Jan18,Mobile_Alerts_Feb18,Mobile_Alerts_Mar18,Mobile_Alerts_Apr18,Mobile_Alerts_May18,Mobile_Alerts_Jun18,Mobile_Alerts_Jul18,Mobile_Alerts_Aug18,Mobile_Alerts_Sep18,Mobile_Alerts_Oct18,Mobile_Alerts_Nov18,Mobile_Alerts_Dec18,Mobile_Alerts_Jan19,Mobile_Alerts_Feb19,Mobile_Alerts_Mar19,Mobile_Alerts_Apr19,Competitor_Detailing_Jan18,Competitor_Detailing_Feb18,Competitor_Detailing_Mar18,Competitor_Detailing_Apr18,Competitor_Detailing_May18,Competitor_Detailing_Jun18,Competitor_Detailing_Jul18,Competitor_Detailing_Aug18,Competitor_Detailing_Sep18,Competitor_Detailing_Oct18,Competitor_Detailing_Nov18,Competitor_Detailing_Dec18,Competitor_Detailing_Jan19,Competitor_Detailing_Feb19,Competitor_Detailing_Mar19,Competitor_Detailing_Apr19,TC
Other-Speciality,6765,L,4,1,0,3,1,3,1,4,1,0,0,1,0,2,4,4,0,1,0,1,1,2,0,1,0,1,0,0,2,0,1,1,Covered,5,8,11,5,11,15,14,10,13,4,13,1,3,10,2,12,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,14,13,13,10,5,2,14,18,11,6,10,9,1,2,2,0,1,2,1,3,0,3,0,0,2,3,3,3,C
Other-Speciality,6851,L,1,4,3,4,0,4,1,3,1,1,3,3,0,0,4,2,0,2,1,1,1,0,1,0,0,2,0,2,2,0,0,2,Covered,5,1,17,4,20,2,2,20,10,20,6,6,11,7,5,10,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,15,18,15,12,16,1,11,4,18,9,1,18,9,2,0,2,1,0,1,0,2,3,3,3,2,3,3,0,3,0,C
PCP,80262,L,4,0,1,1,4,2,2,2,1,4,2,3,0,3,1,4,0,1,2,2,1,0,0,1,0,2,0,2,2,2,1,2,Covered,4,9,10,0,16,13,20,14,10,3,6,19,10,16,0,0,Other,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,16,1,4,3,8,11,1,17,0,2,0,5,15,3,1,0,0,1,2,2,3,2,1,3,1,0,3,2,0,C
PCP,271,H,2,0,6,14,10,14,5,4,7,0,9,13,0,14,6,7,0,3,3,0,2,0,3,2,0,1,0,0,1,3,1,2,Covered,101,53,46,72,76,56,89,70,102,105,67,72,79,106,89,101,Other,Restrictions,1,2,3,1,2,0,1,2,2,1,3,0,0,3,2,0,0,9,4,18,12,5,1,6,12,0,16,9,4,3,10,15,1,3,2,0,1,1,2,3,2,1,0,2,3,0,0,1,T
Other-Speciality,4543,M,3,6,3,8,5,2,0,0,8,4,1,7,0,4,0,8,0,4,1,2,3,0,0,0,0,4,2,1,3,0,1,2,Covered,60,24,52,47,12,36,51,62,48,55,54,50,60,51,64,53,Other,Restrictions,3,1,1,2,1,0,1,1,0,0,0,2,0,0,1,3,14,3,2,10,17,9,9,12,9,8,14,7,4,10,18,15,2,0,0,1,3,2,1,2,0,2,0,2,0,2,0,2,T
Other-Speciality,6413,L,4,0,1,3,1,3,3,1,0,4,4,4,1,2,1,4,0,1,0,1,2,0,1,0,0,2,0,1,1,0,2,0,Covered,18,7,16,11,10,12,4,19,16,6,2,0,10,20,3,5,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,16,11,7,0,14,16,6,6,10,12,18,17,9,4,0,2,2,0,0,1,3,0,0,2,2,0,1,2,2,1,C
PCP,1575,M,4,8,6,8,4,6,5,1,1,5,8,8,1,6,6,3,0,4,1,0,1,3,1,1,0,1,4,4,1,2,1,4,Covered,15,33,16,35,16,12,39,27,33,42,41,27,35,40,41,31,On_Formulary,Restrictions,0,2,0,1,3,3,2,3,2,3,2,2,0,2,0,3,16,12,16,7,1,16,15,9,5,18,13,3,2,13,8,5,2,3,3,0,1,2,2,3,0,3,1,1,1,2,0,3,T
PCP,3778824,L,3,2,3,4,0,1,3,1,1,1,0,1,1,3,4,3,0,2,2,2,0,0,2,2,0,0,0,0,2,1,0,2,Covered,17,15,10,16,2,13,15,7,2,10,2,12,8,8,3,12,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,8,9,11,2,2,13,13,10,1,11,8,10,3,9,0,2,0,1,2,0,3,3,0,2,2,1,3,3,3,3,C
Other-Speciality,6624,L,3,1,4,4,1,4,3,4,2,2,0,1,1,1,3,0,0,1,0,2,1,1,1,2,0,1,2,1,0,1,2,2,Covered,5,17,13,7,9,4,23,19,14,19,22,21,16,22,15,19,On_Formulary,Restrictions,1,0,1,2,2,3,2,2,3,0,0,0,1,2,2,2,2,2,3,18,17,14,17,18,6,18,1,5,16,4,11,15,1,3,3,0,2,1,2,2,2,1,1,3,1,0,1,3,T
NON-PCP,1355480,L,3,3,0,4,3,0,0,4,3,2,4,4,1,2,4,3,0,1,1,1,2,1,0,2,0,2,0,1,2,0,1,2,Covered,19,7,19,8,7,14,24,32,33,24,24,31,31,34,31,33,Other,Cannot_Use,2,1,3,2,0,3,2,3,2,1,0,1,1,3,2,0,14,5,17,10,5,17,16,8,11,17,5,12,2,5,10,8,0,2,1,3,1,2,2,1,0,1,3,2,1,1,1,0,T
